,character,character reverse,firstname,lastname,display name
32,Kyō Ishigami,Ishigami Kyō,Kyō,Ishigami,Kyou Ishigami
33,Kyōgo Komiya,Komiya Kyōgo,Kyōgo,Komiya,Kyougo Komiya
34,Kyōsuke Okitani,Okitani Kyōsuke,Kyōsuke,Okitani,Kyousuke Okitani
35,Kōhei Katsuragi,Katsuragi Kōhei,Kōhei,Katsuragi,Kouhei Katsuragi
36,Kōji Machida,Machida Kōji,Kōji,Machida,Kouji Machida
37,Mako Amikura,Amikura Mako,Mako,Amikura,Mako Amikura
39,Manabu Horikita,Horikita Manabu,Manabu,None,Manabu Horikita
40,Masayoshi Hashimoto,Hashimoto Masayoshi,Masayoshi,Hashimoto,Masayoshi Hashimoto
41,Masumi Kamuro,Kamuro Masumi,Masumi,Kamuro,Masumi Kamuro
42,Maya Satō,Satō Maya,Maya,Satō,Maya Satou
43,Mei-Yu Wang,Wang Mei-Yu,Mei-Yu,Wang,Mei-Yu Wang
44,Miki Yamamura,Yamamura Miki,Miki,Yamamura,Miki Yamamura
45,Minori Kinoshita,Kinoshita Minori,Minori,Kinoshita,Minori Kinoshita
46,Mio Ibuki,Ibuki Mio,Mio,Ibuki,Mio Ibuki
47,Miscellaneous Characters,Characters Miscellaneous,Miscellaneous,Characters,Miscellaneous Characters
48,Miyabi Nagumo,Nagumo Miyabi,Miyabi,Nagumo,Miyabi Nagumo
49,Nanami Yabu,Yabu Nanami,Nanami,Yabu,Nanami Yabu
50,Nazuna Asahina,Asahina Nazuna,Nazuna,Asahina,Nazuna Asahina
51,Atsuomi Ayanokōji,Ayanokōji Atsuomi,Atsuomi,Impossible,Atsuomi Ayanokouji
52,Professor Ayanokōji,Ayanokōji Professor,Professor,Ayanokōji,Professor Ayanokouji
53,Reo Kondō,Kondō Reo,Reo,Kondō,Reo Kondou
54,Rika Morofuji,Morofuji Rika,Rika,Morofuji,Rika Morofuji
55,Riku Utomiya,Utomiya Riku,Riku,Utomiya,Riku Utomiya
56,Rokusuke Kōenji,Kōenji Rokusuke,Rokusuke,Kōenji,Rokusuke Kouenji
57,Ryōtarō Hondō,Hondō Ryōtarō,Ryōtarō,Hondō,Ryoutarou Hondou
58,Sae Chiyabashira,Chiyabashira Sae,Sae,Chiyabashira,Sae Chiyabashira
59,Sae Chabashira,Chabashira Sae,Sae,Chabashira,Sae Chabashira
60,Saki Yamashita,Yamashita Saki,Saki,Yamashita,Saki Yamashita
61,Sakurako Tsubaki,Tsubaki Sakurako,Sakurako,Tsubaki,Sakurako Tsubaki
62,Satoru Kaneda,Kaneda Satoru,Satoru,Kaneda,Satoru Kaneda
63,Satsuki Shinohara,Shinohara Satsuki,Satsuki,Shinohara,Satsuki Shinohara
64,Sayo Andō,Andō Sayo,Sayo,Andō,Sayo Andou
65,Shiho Manabe,Manabe Shiho,Shiho,Manabe,Shiho Manabe
67,Suzune Horikita,Horikita Suzune,Suzune,Horikita,Suzune Horikita
68,Sō Shibata,Shibata Sō,Sō,Shibata,Sou Shibata
69,Sōshi Miyamoto,Miyamoto Sōshi,Sōshi,Miyamoto,Soushi Miyamoto
70,Takeko Nishino,Nishino Takeko,Takeko,Nishino,Takeko Nishino
71,Takuya Yagami,Yagami Takuya,Takuya,Yagami,Takuya Yagami
73,Teruhiko Yukimura,Yukimura Teruhiko,Teruhiko,Yukimura,Teruhiko Yukimura
74,Tetsuya Hamaguchi,Hamaguchi Tetsuya,Tetsuya,Hamaguchi,Tetsuya Hamaguchi
75,Tomonari Mashima,Mashima Tomonari,Tomonari,Mashima,Tomonari Mashima
76,Tsubasa Nanase,Nanase Tsubasa,Tsubasa,Nanase,Tsubasa Nanase
77,Tokinari Tsukishiro,Tsukishiro Tokinari,Tokinari,Tsukishiro,Tokinari Tsukishiro
78,Yahiko Totsuka,Totsuka Yahiko,Yahiko,Totsuka,Yahiko Totsuka
79,Yuki Himeno,Himeno Yuki,Yuki,Himeno,Yuki Himeno
80,Yukitsu Kusuda,Kusuda Yukitsu,Yukitsu,Kusuda,Yukitsu Kusuda
81,Yume Kobashi,Kobashi Yume,Yume,Kobashi,Yume Kobashi
82,Yōsuke Hirata,Hirata Yōsuke,Yōsuke,Hirata,Yousuke Hirata
